label group Pseudotime
RamDA_00h_G08 00h 0
RamDA_00h_G10 00h 0.0144012510736921
RamDA_00h_H02 00h 0.0184279277857921
RamDA_00h_A08 00h 0.025786270992859
RamDA_00h_G04 00h 0.0313251977198791
RamDA_00h_H03 00h 0.03184558702049
RamDA_00h_B12 00h 0.033282148013259
RamDA_00h_C08 00h 0.033936874500753
RamDA_00h_C09 00h 0.034833657181635
RamDA_00h_E09 00h 0.03558271478374
RamDA_00h_D08 00h 0.036683963641987
RamDA_00h_H01 00h 0.037164416960621
RamDA_00h_A09 00h 0.037844304027149
RamDA_00h_H11 00h 0.04093965052528
RamDA_00h_A04 00h 0.044213309939733
RamDA_00h_E04 00h 0.0486345472690091
RamDA_00h_F02 00h 0.051373058292974
RamDA_00h_F03 00h 0.0518846985633851
RamDA_00h_B03 00h 0.0525049164331101
RamDA_00h_B10 00h 0.0536239825012991
RamDA_00h_D03 00h 0.053847339992186
RamDA_00h_C06 00h 0.055666326880365
RamDA_00h_E05 00h 0.061842416730525
RamDA_00h_G09 00h 0.062129402778381
RamDA_00h_B07 00h 0.062845744434167
RamDA_00h_G11 00h 0.064481225202249
RamDA_00h_H06 00h 0.067622223761897
RamDA_00h_B02 00h 0.068425316476331
RamDA_00h_A06 00h 0.068989538958196
RamDA_00h_F06 00h 0.073334761886106
RamDA_00h_H12 00h 0.0747076176822751
RamDA_00h_F07 00h 0.074717964237165
RamDA_00h_E10 00h 0.079459279940306
RamDA_00h_F04 00h 0.080692708903639
RamDA_00h_F09 00h 0.0809507347217431
RamDA_00h_G12 00h 0.0832025012787311
RamDA_00h_H10 00h 0.083352842685572
RamDA_00h_G07 00h 0.086490976999801
RamDA_00h_F08 00h 0.088951918846759
RamDA_00h_D05 00h 0.08905707579166
RamDA_00h_F10 00h 0.089910128002511
RamDA_00h_E12 00h 0.090569025504171
RamDA_00h_C01 00h 0.09077027616897
RamDA_00h_H07 00h 0.091142909169115
RamDA_00h_E07 00h 0.092331908384873
RamDA_00h_F11 00h 0.0940091830640231
RamDA_00h_C02 00h 0.100315719584164
RamDA_00h_D10 00h 0.100741671277306
RamDA_00h_D06 00h 0.100912810363347
RamDA_00h_C11 00h 0.101694737187717
RamDA_00h_B05 00h 0.102564256235197
RamDA_00h_D01 00h 0.102844526658219
RamDA_00h_B04 00h 0.103999790919898
RamDA_00h_F05 00h 0.106228119676851
RamDA_00h_C10 00h 0.108094264826714
RamDA_00h_B09 00h 0.10826005131685
RamDA_00h_B06 00h 0.110449314974693
RamDA_00h_H05 00h 0.114076200590324
RamDA_00h_G05 00h 0.116076151722931
RamDA_00h_G02 00h 0.118730212373809
RamDA_00h_H08 00h 0.122287775719337
RamDA_00h_E08 00h 0.123227269069604
RamDA_00h_E06 00h 0.123572430689247
RamDA_00h_E03 00h 0.124846729125212
RamDA_00h_E11 00h 0.126750298457632
RamDA_00h_E02 00h 0.126828405868096
RamDA_00h_C07 00h 0.128117483365588
RamDA_00h_H09 00h 0.13037408789268
RamDA_00h_A05 00h 0.134713800440866
RamDA_00h_B08 00h 0.13547249762394
RamDA_12h_C03 12h 0.139868085926498
