label	variable	group	Pseudotime	value	sd
RamDA_00h_A04	cluster_1	00h	0.044213309939733	-0.842848846962595	0.699358012244244
RamDA_00h_A04	cluster_2	00h	0.044213309939733	1.78252619396652	0.270658521958544
RamDA_00h_A04	cluster_3	00h	0.044213309939733	0.250466774785728	1.06505431678774
RamDA_00h_A04	cluster_4	00h	0.044213309939733	-1.59903907800687	0.400824894023295
RamDA_00h_A04	cluster_5	00h	0.044213309939733	1.04134578700601	0.391592201416877
RamDA_00h_A04	cluster_6	00h	0.044213309939733	0.229141841661008	0.505714334926442
RamDA_00h_A04	cluster_7	00h	0.044213309939733	-1.11634162762912	0.537682640651454
RamDA_00h_A05	cluster_1	00h	0.134713800440866	-0.829101767619875	0.525884039160469
RamDA_00h_A05	cluster_2	00h	0.134713800440866	1.39210703389974	0.135493216241541
RamDA_00h_A05	cluster_3	00h	0.134713800440866	-0.206113429843242	0.748005895641587
RamDA_00h_A05	cluster_4	00h	0.134713800440866	-1.36194281810451	0.18911693237056
RamDA_00h_A05	cluster_5	00h	0.134713800440866	0.999273477894309	0.237749775596655
RamDA_00h_A05	cluster_6	00h	0.134713800440866	0.366852090916554	0.35869104518841
RamDA_00h_A05	cluster_7	00h	0.134713800440866	-0.619267626289108	0.4180604896712
RamDA_00h_A06	cluster_1	00h	0.068989538958196	-0.839486362990532	0.646442247897931
RamDA_00h_A06	cluster_2	00h	0.068989538958196	1.67656776837484	0.212134115097455
RamDA_00h_A06	cluster_3	00h	0.068989538958196	0.126543306827372	0.968198113022658
RamDA_00h_A06	cluster_4	00h	0.068989538958196	-1.53766202511681	0.328657650414416
RamDA_00h_A06	cluster_5	00h	0.068989538958196	1.02765049203487	0.344330350063504
RamDA_00h_A06	cluster_6	00h	0.068989538958196	0.263463979134788	0.449912608265689
RamDA_00h_A06	cluster_7	00h	0.068989538958196	-0.988577951972323	0.474747344089162
RamDA_00h_A07	cluster_1	00h	0.175399532855124	-0.821048961328389	0.465695589239903
RamDA_00h_A07	cluster_2	00h	0.175399532855124	1.2127338191435	0.176922279919216
RamDA_00h_A07	cluster_3	00h	0.175399532855124	-0.412484217710571	0.636714082288975
RamDA_00h_A07	cluster_4	00h	0.175399532855124	-1.23833217645491	0.171959012845361
RamDA_00h_A07	cluster_5	00h	0.175399532855124	0.990529222287673	0.186745018082969
RamDA_00h_A07	cluster_6	00h	0.175399532855124	0.444368933315147	0.348128046987089
RamDA_00h_A07	cluster_7	00h	0.175399532855124	-0.358315540056929	0.447970195711422
RamDA_00h_A08	cluster_1	00h	0.025786270992859	-0.845286828900695	0.741236274640687
RamDA_00h_A08	cluster_2	00h	0.025786270992859	1.86117954668481	0.318175537188002
RamDA_00h_A08	cluster_3	00h	0.025786270992859	0.342396813156085	1.14155805577745
RamDA_00h_A08	cluster_4	00h	0.025786270992859	-1.64414468676886	0.458219591285799
RamDA_00h_A08	cluster_5	00h	0.025786270992859	1.05187125239682	0.429110461719051
RamDA_00h_A08	cluster_6	00h	0.025786270992859	0.204147833607023	0.552671299425198
RamDA_00h_A08	cluster_7	00h	0.025786270992859	-1.21003736805001	0.595602304295355
RamDA_00h_A09	cluster_1	00h	0.037844304027149	-0.843694534688955	0.713601601871251
RamDA_00h_A09	cluster_2	00h	0.037844304027149	1.80971888912325	0.286792833004048
RamDA_00h_A09	cluster_3	00h	0.037844304027149	0.282253279029166	1.09109714011279
RamDA_00h_A09	cluster_4	00h	0.037844304027149	-1.61465523598437	0.420370591844153
RamDA_00h_A09	cluster_5	00h	0.037844304027149	1.04496731485783	0.404348104432861
RamDA_00h_A09	cluster_6	00h	0.037844304027149	0.220477195248856	0.521487979104458
RamDA_00h_A09	cluster_7	00h	0.037844304027149	-1.1487906519199	0.556795008583864
RamDA_00h_A12	cluster_1	00h	0.191952670738843	-0.817434108033008	0.445051186872236
RamDA_00h_A12	cluster_2	00h	0.191952670738843	1.13930464235849	0.204169294017121
RamDA_00h_A12	cluster_3	00h	0.191952670738843	-0.49484535208267	0.597193736477107
RamDA_00h_A12	cluster_4	00h	0.191952670738843	-1.18477368316239	0.184327225327684
RamDA_00h_A12	cluster_5	00h	0.191952670738843	0.988770361220802	0.171875185768117
RamDA_00h_A12	cluster_6	00h	0.191952670738843	0.478611656461853	0.352781619657694
RamDA_00h_A12	cluster_7	00h	0.191952670738843	-0.246086516562464	0.467678675575999
RamDA_00h_B01	cluster_1	00h	0.16364017995032	-0.823505706948263	0.481824680856389
RamDA_00h_B01	cluster_2	00h	0.16364017995032	1.26478354477725	0.160043973942295
RamDA_00h_B01	cluster_3	00h	0.16364017995032	-0.353217408561942	0.666931117038644
RamDA_00h_B01	cluster_4	00h	0.16364017995032	-1.27528620200905	0.169733040651352
RamDA_00h_B01	cluster_5	00h	0.16364017995032	0.992361625339176	0.199797547654576
RamDA_00h_B01	cluster_6	00h	0.16364017995032	0.420913303388313	0.347792585022769
RamDA_00h_B01	cluster_7	00h	0.16364017995032	-0.436151147556694	0.436153175486996
RamDA_00h_B02	cluster_1	00h	0.068425316476331	-0.839564860556789	0.647601679594082
RamDA_00h_B02	cluster_2	00h	0.068425316476331	1.67898534434862	0.213369666232452
RamDA_00h_B02	cluster_3	00h	0.068425316476331	0.129372172559541	0.97032066088531
RamDA_00h_B02	cluster_4	00h	0.068425316476331	-1.53907644383273	0.330219417842154
RamDA_00h_B02	cluster_5	00h	0.068425316476331	1.02795195708734	0.345362904571744
RamDA_00h_B02	cluster_6	00h	0.068425316476331	0.262666092944187	0.4510726331072
RamDA_00h_B02	cluster_7	00h	0.068425316476331	-0.991527943536161	0.475950637141206
RamDA_00h_B03	cluster_1	00h	0.0525049164331101	-0.841739316136694	0.681199124542878
RamDA_00h_B03	cluster_2	00h	0.0525049164331101	1.74710410934397	0.250226630560661
RamDA_00h_B03	cluster_3	00h	0.0525049164331101	0.20905193477006	1.03182836298402
RamDA_00h_B03	cluster_4	00h	0.0525049164331101	-1.57863507167423	0.375927513999365
RamDA_00h_B03	cluster_5	00h	0.0525049164331101	1.036677294354	0.375346132489677
RamDA_00h_B03	cluster_6	00h	0.0525049164331101	0.240494685549905	0.485995396909501
RamDA_00h_B03	cluster_7	00h	0.0525049164331101	-1.07391622506882	0.514460609190455
RamDA_00h_B04	cluster_1	00h	0.103999790919898	-0.834314516856512	0.578703540084534
RamDA_00h_B04	cluster_2	00h	0.103999790919898	1.52584915481671	0.150453414989333
RamDA_00h_B04	cluster_3	00h	0.103999790919898	-0.0499015700414253	0.844364502927119
RamDA_00h_B04	cluster_4	00h	0.103999790919898	-1.4472613886033	0.241968228001593
RamDA_00h_B04	cluster_5	00h	0.103999790919898	1.0105770579964	0.284272093595309
RamDA_00h_B04	cluster_6	00h	0.103999790919898	0.315512299037156	0.389924463692527
RamDA_00h_B04	cluster_7	00h	0.103999790919898	-0.799251024733682	0.424289387638442
RamDA_00h_B05	cluster_1	00h	0.102564256235197	-0.834540870723148	0.581320647012114
RamDA_00h_B05	cluster_2	00h	0.102564256235197	1.53206215565524	0.15221912517471
RamDA_00h_B05	cluster_3	00h	0.102564256235197	-0.0426284957732564	0.849140334123442
RamDA_00h_B05	cluster_4	00h	0.102564256235197	-1.45109403561167	0.245055460238887
RamDA_00h_B05	cluster_5	00h	0.102564256235197	1.01119950064916	0.286583897568661
RamDA_00h_B05	cluster_6	00h	0.102564256235197	0.313257765291401	0.391888528042172
RamDA_00h_B05	cluster_7	00h	0.102564256235197	-0.807310520465091	0.425403436748024
RamDA_00h_B06	cluster_1	00h	0.110449314974693	-0.833279576970217	0.567110495725284
RamDA_00h_B06	cluster_2	00h	0.110449314974693	1.49789504682618	0.143588651125588
RamDA_00h_B06	cluster_3	00h	0.110449314974693	-0.0826161754275642	0.823216099929448
RamDA_00h_B06	cluster_4	00h	0.110449314974693	-1.42988219552008	0.228697855125387
RamDA_00h_B06	cluster_5	00h	0.110449314974693	1.00787843463404	0.274037751101289
RamDA_00h_B06	cluster_6	00h	0.110449314974693	0.325792608200718	0.381651486854865
RamDA_00h_B06	cluster_7	00h	0.110449314974693	-0.76267156336426	0.420256621226107
RamDA_00h_B07	cluster_1	00h	0.062845744434167	-0.840335239119722	0.659183205124045
RamDA_00h_B07	cluster_2	00h	0.062845744434167	1.70287861578657	0.225871656875692
RamDA_00h_B07	cluster_3	00h	0.062845744434167	0.157326592978335	0.991524223728683
RamDA_00h_B07	cluster_4	00h	0.062845744434167	-1.55301246151527	0.345890069306751
RamDA_00h_B07	cluster_5	00h	0.062845744434167	1.03096496576064	0.355685447301844
RamDA_00h_B07	cluster_6	00h	0.062845744434167	0.254825522410297	0.462840334204175
RamDA_00h_B07	cluster_7	00h	0.062845744434167	-1.02057688615475	0.488466387726684
RamDA_00h_B08	cluster_1	00h	0.13547249762394	-0.828963545080815	0.52465580255015
RamDA_00h_B08	cluster_2	00h	0.13547249762394	1.38878341150507	0.135708219182726
