transcript_id	cluster
ENSMUST00000000001.4	1
ENSMUST00000000080.6	1
ENSMUST00000000090.6	2
ENSMUST00000000137.7	3
ENSMUST00000000153.8	4
ENSMUST00000000175.4	4
ENSMUST00000000287.8	1
ENSMUST00000000312.11	5
ENSMUST00000000356.8	4
ENSMUST00000000394.13	6
ENSMUST00000000476.14	4
ENSMUST00000000505.15	5
ENSMUST00000000642.10	2
ENSMUST00000000724.14	2
ENSMUST00000000727.2	4
ENSMUST00000000746.11	6
ENSMUST00000000756.5	6
ENSMUST00000000759.8	7
ENSMUST00000000767.5	5
ENSMUST00000000804.6	4
ENSMUST00000000985.6	5
ENSMUST00000001042.9	5
ENSMUST00000001080.15	2
ENSMUST00000001081.9	2
ENSMUST00000001083.3	5
ENSMUST00000001115.14	2
ENSMUST00000001127.10	5
ENSMUST00000001187.14	1
ENSMUST00000001304.7	6
ENSMUST00000001326.6	5
ENSMUST00000001335.6	1
ENSMUST00000001339.5	6
ENSMUST00000001416.6	7
ENSMUST00000001451.10	7
ENSMUST00000001452.13	7
ENSMUST00000001460.13	4
ENSMUST00000001479.4	6
ENSMUST00000001480.13	2
ENSMUST00000001485.9	4
ENSMUST00000001513.6	4
ENSMUST00000001520.12	7
ENSMUST00000001566.9	3
ENSMUST00000001592.14	1
ENSMUST00000001716.7	6
ENSMUST00000001724.11	7
ENSMUST00000001757.7	1
ENSMUST00000001780.9	4
ENSMUST00000001809.14	6
ENSMUST00000001825.7	7
ENSMUST00000001834.3	4
ENSMUST00000001836.8	4
ENSMUST00000001950.11	4
ENSMUST00000001975.4	2
ENSMUST00000001989.8	6
ENSMUST00000002029.12	4
ENSMUST00000002043.9	4
ENSMUST00000002044.9	4
ENSMUST00000002090.2	4
ENSMUST00000002091.5	4
ENSMUST00000002121.4	6
ENSMUST00000002133.8	1
ENSMUST00000002198.3	6
ENSMUST00000002275.14	4
ENSMUST00000002284.10	1
ENSMUST00000002289.6	6
ENSMUST00000002391.14	1
ENSMUST00000002436.9	4
ENSMUST00000002518.8	2
ENSMUST00000002655.7	4
ENSMUST00000002699.5	6
ENSMUST00000002733.6	7
ENSMUST00000002735.7	6
ENSMUST00000002790.13	6
ENSMUST00000002818.8	4
ENSMUST00000002825.5	7
ENSMUST00000002839.8	4
ENSMUST00000002844.13	6
ENSMUST00000002845.6	4
ENSMUST00000002855.12	4
ENSMUST00000002889.4	4
ENSMUST00000002902.6	7
ENSMUST00000002911.8	5
ENSMUST00000002923.8	2
ENSMUST00000002979.14	4
ENSMUST00000003038.11	1
ENSMUST00000003117.14	5
ENSMUST00000003123.8	6
ENSMUST00000003156.14	1
ENSMUST00000003183.11	4
ENSMUST00000003245.9	4
ENSMUST00000003268.9	4
ENSMUST00000003310.5	7
ENSMUST00000003386.5	6
ENSMUST00000003433.10	4
ENSMUST00000003445.6	4
ENSMUST00000003450.14	6
ENSMUST00000003493.7	1
ENSMUST00000003513.9	7
ENSMUST00000003521.8	6
ENSMUST00000003527.9	6
ENSMUST00000003536.8	6
ENSMUST00000003550.10	4
ENSMUST00000003572.9	6
ENSMUST00000003575.9	4
ENSMUST00000003622.14	3
ENSMUST00000003720.4	4
ENSMUST00000003843.14	1
ENSMUST00000003857.6	7
ENSMUST00000003906.12	6
ENSMUST00000003912.6	4
ENSMUST00000003946.8	6
ENSMUST00000004054.12	6
ENSMUST00000004057.7	1
ENSMUST00000004072.8	6
ENSMUST00000004200.8	7
ENSMUST00000004202.15	5
ENSMUST00000004203.5	7
ENSMUST00000004206.8	7
ENSMUST00000004375.15	6
ENSMUST00000004379.7	6
ENSMUST00000004396.12	6
ENSMUST00000004428.13	1
ENSMUST00000004470.7	5
ENSMUST00000004507.10	6
ENSMUST00000004554.13	6
ENSMUST00000004565.14	4
ENSMUST00000004574.13	4
ENSMUST00000004745.8	4
ENSMUST00000004784.10	1
ENSMUST00000004786.9	2
ENSMUST00000004965.6	4
ENSMUST00000005003.11	2
ENSMUST00000005015.9	6
ENSMUST00000005017.14	7
ENSMUST00000005041.14	5
ENSMUST00000005057.6	6
ENSMUST00000005066.8	1
ENSMUST00000005067.5	4
ENSMUST00000005077.6	6
ENSMUST00000005185.6	4
ENSMUST00000005234.12	4
ENSMUST00000005256.12	1
ENSMUST00000005279.6	6
ENSMUST00000005336.8	2
ENSMUST00000005371.11	5
ENSMUST00000005394.12	4
ENSMUST00000005406.10	1
ENSMUST00000005452.5	1
ENSMUST00000005487.11	4
ENSMUST00000005503.3	5
ENSMUST00000005532.7	1
ENSMUST00000005548.6	1
ENSMUST00000005606.6	4
ENSMUST00000005620.8	4
ENSMUST00000005705.7	5
ENSMUST00000005749.5	7
ENSMUST00000005798.8	4
ENSMUST00000005815.6	1
ENSMUST00000005826.7	7
ENSMUST00000005830.14	2
ENSMUST00000005841.15	6
ENSMUST00000005923.6	6
ENSMUST00000005964.6	5
ENSMUST00000006005.11	1
ENSMUST00000006027.5	4
ENSMUST00000006035.12	4
ENSMUST00000006046.4	2
ENSMUST00000006103.8	1
ENSMUST00000006112.6	4
ENSMUST00000006128.6	4
ENSMUST00000006137.8	5
ENSMUST00000006181.6	4
ENSMUST00000006217.9	7
ENSMUST00000006235.7	4
ENSMUST00000006254.5	7
ENSMUST00000006293.3	7
ENSMUST00000006301.10	5
ENSMUST00000006367.7	4
ENSMUST00000006435.7	4
ENSMUST00000006451.6	2
ENSMUST00000006462.13	6
ENSMUST00000006496.14	6
ENSMUST00000006544.7	6
ENSMUST00000006565.12	7
ENSMUST00000006587.6	1
ENSMUST00000006611.8	6
ENSMUST00000006614.2	2
ENSMUST00000006625.7	7
ENSMUST00000006760.2	5
ENSMUST00000006764.7	1
ENSMUST00000006774.10	7
